State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
01,018,00068,SUB-DISTRICT,Kishtwar,82,114624,59530,55094,2,234,119,115,22,7775,3988,3787,22,17057,9049,8008,20,27751,14383,13368,13,42165,22152,20013,3,19642,9839,9803,0,0,0,0
01,018,00069,SUB-DISTRICT,Marwah,27,35572,18364,17208,0,0,0,0,5,1959,988,971,7,5311,2787,2524,10,14228,7395,6833,5,14074,7194,6880,0,0,0,0,0,0,0,0
01,018,00070,SUB-DISTRICT,Chhatroo,14,44087,22815,21272,0,0,0,0,1,329,162,167,1,758,382,376,3,4065,2129,1936,6,20672,10599,10073,3,18263,9543,8720,0,0,0,0
01,018,00071,SUB-DISTRICT,Atholi (Paddar),32,21548,11277,10271,0,0,0,0,16,5434,2804,2630,8,5423,2832,2591,8,10691,5641,5050,0,0,0,0,0,0,0,0,0,0,0,0
01,019,00000,DISTRICT,Udhampur,325,446777,232974,213803,27,2439,1269,1170,46,16047,8379,7668,71,52864,27547,25317,108,162236,84382,77854,71,202623,105906,96717,2,10568,5491,5077,0,0,0,0
01,019,00072,SUB-DISTRICT,Udhampur,149,177828,92989,84839,17,1679,859,820,25,8910,4656,4254,42,30652,15903,14749,38,54375,28300,26075,25,71644,37780,33864,2,10568,5491,5077,0,0,0,0
01,019,00073,SUB-DISTRICT,Chenani,46,60568,31380,29188,4,419,222,197,12,3752,1934,1818,6,4483,2340,2143,13,21192,10881,10311,11,30722,16003,14719,0,0,0,0,0,0,0,0
01,019,00074,SUB-DISTRICT,Ramnagar,88,160718,83518,77200,1,150,81,69,6,2226,1174,1052,11,8288,4326,3962,40,62839,32658,30181,30,87215,45279,41936,0,0,0,0,0,0,0,0
01,019,00075,SUB-DISTRICT,Majalta,42,47663,25087,22576,5,191,107,84,3,1159,615,544,12,9441,4978,4463,17,23830,12543,11287,5,13042,6844,6198,0,0,0,0,0,0,0,0
01,020,00000,DISTRICT,Reasi,253,287671,151481,136190,24,2489,1322,1167,66,22184,11520,10664,68,47652,24730,22922,56,71262,37376,33886,32,92908,48591,44317,7,51176,27942,23234,0,0,0,0
01,020,00076,SUB-DISTRICT,Gool-Gulabgarh,61,147843,78181,69662,1,197,107,90,3,989,515,474,8,5925,3008,2917,22,28639,14979,13660,20,60917,31630,29287,7,51176,27942,23234,0,0,0,0
01,020,00077,SUB-DISTRICT,Reasi,192,139828,73300,66528,23,2292,1215,1077,63,21195,11005,10190,60,41727,21722,20005,34,42623,22397,20226,12,31991,16961,15030,0,0,0,0,0,0,0,0
01,021,00000,DISTRICT,Jammu,780,764945,401603,363342,100,9586,5014,4572,181,63859,33192,30667,239,172226,89631,82595,182,250538,130924,119614,73,227998,120069,107929,4,29177,16434,12743,1,11561,6339,5222
01,021,00078,SUB-DISTRICT,Akhnoor,207,218825,114114,104711,22,2522,1291,1231,38,13175,6767,6408,68,48130,24853,23277,56,79730,41068,38662,21,59956,31572,28384,2,15312,8563,6749,0,0,0,0
01,021,00079,SUB-DISTRICT,Jammu,309,284890,150516,134374,51,4619,2430,2189,77,26685,14004,12681,81,58327,30691,27636,72,96546,50772,45774,27,87152,46280,40872,0,0,0,0,1,11561,6339,5222
01,021,00080,SUB-DISTRICT,Ranbir Singh Pora,163,169459,89097,80362,16,1099,556,543,43,16134,8337,7797,54,39603,20491,19112,30,41674,22083,19591,18,57084,29759,27325,2,13865,7871,5994,0,0,0,0
01,021,00081,SUB-DISTRICT,Bishnah,101,91771,47876,43895,11,1346,737,609,23,7865,4084,3781,36,26166,13596,12570,24,32588,17001,15587,7,23806,12458,11348,0,0,0,0,0,0,0,0
01,022,00000,DISTRICT,Samba,345,265283,139365,125918,58,5506,2826,2680,123,40645,20966,19679,83,60057,31251,28806,55,76328,39433,36895,23,61572,33461,28111,2,10920,6093,4827,1,10255,5335,4920
01,022,00082,SUB-DISTRICT,Samba,345,265283,139365,125918,58,5506,2826,2680,123,40645,20966,19679,83,60057,31251,28806,55,76328,39433,36895,23,61572,33461,28111,2,10920,6093,4827,1,10255,5335,4920
02,000,00000,STATE,HIMACHAL PRADESH,17882,6176050,3110345,3065705,8461,812584,404448,408136,5898,1874215,932533,941682,2459,1686800,848088,838712,832,1130738,578703,552035,219,585064,302211,282853,12,74265,38157,36108,1,12384,6205,6179
02,023,00000,DISTRICT,Chamba,1110,482972,241963,241009,274,28673,14535,14138,474,158926,79425,79501,292,200392,100351,100041,63,78395,39332,39063,7,16586,8320,8266,0,0,0,0,0,0,0,0
02,023,00083,SUB-DISTRICT,Pangi,60,18868,9579,9289,19,1806,942,864,30,9810,4907,4903,11,7252,3730,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
